1 2 RIGHT;-0.7948233010552239 19;0.20077205341133428 26;-0.07904954100118833 28;0.3105385202612715 35;0.3611189921825065 36;0.4327129385160937 37;0.4742770158939052 40;0.5023832169961291 54;0.43324311251146863 58;0.4211643386585935 61;0.42834925657414874 68;0.4912257843561278 71;0.5392166382523369 75;0.543787714774948 79;0.546461324390244 82;0.2451891285920997 89;0.5188666145642089 94;0.5452453507767016 99;0.524633811123555 103;0.5261216692274109 106;0.5260447820361503 114
3 2 DOWN;0.5918416085189588 43;0.7669427222508585 61;0.7868538479367784 79;0.6357650722834226 105;0.8233480449212707 118;0.8486898565760023 136;0.8266296732506434 155;0.7933035359201277 163;0.8053770167703028 175;0.8319056710053115 188;0.8135902907287301 194;0.8181745745818093 203;0.8386919110632391 210;0.8072563949265773 221;0.8172804575810911 238;0.8377149954356744 255;0.779474163494534 267;0.8245124088560069 279;0.8314991876197886 292;0.81490241849296 311;0.7891009965861202 320
1 1 DOWN;0.4850022017136869 40;0.6147474167765795 93;0.6378325319974137 145;0.6962730251071391 197;0.6683055033947778 265;0.7301116168518476 328;0.6981118354380386 391;0.6843352539818011 443;0.6816221224422595 512;0.7030499565918755 578;0.7076590488099577 653;0.7161855933302984 709;0.6899036241055237 770;0.723576490732233 827;0.7176787634941244 887;0.7219131075338499 959;0.701403226023246 1024;0.6841782170709921 1095;0.6943693559169328 1160;0.7055048414509346 1218;0.6946062766035118 1286
3 3 DOWN;0.7155349932846443 25;0.74846933459511 53;0.8947834235564774 64;0.9166293535131914 76;0.9170047811013098 91;0.890919349725409 106;0.9133966764383126 117;0.8218053533202245 136;0.901629563700173 157;0.9059655862094453 169;0.9130524439187181 179;0.9071709584593544 191;0.8671288700720295 207;0.8977740655159159 217;0.8844343085848334 231;0.908477373098907 236;0.9073067742378251 246;0.9106634587785103 265;0.8804199375974119 279;0.8609909856197239 294;0.9015687416031576 306
3 1 DOWN;0.5088680461271878 42;0.6425914461525692 60;0.7190211021965591 75;0.677772908868929 101;0.7554851205873777 120;0.7687297943315905 130;0.765704389678676 138;0.7589282311759528 146;0.7399472235392879 154;0.7659670293304869 162;0.774387870957196 171;0.7737764192043254 182;0.7460513929802175 191;0.7631450223842733 200;0.7731784257662714 211;0.7683486622302048 218;0.7572211583379701 236;0.7629159228411165 242;0.7616838504280958 251;0.7741399285133783 264;0.7538161051194192 274
3 4 NULL;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0
3 1 RIGHT;0.8566784407741427 59;0.8290679423873835 143;0.7962821143128473 235;0.6551568561489588 333;0.8356903528146388 433;0.8218268061321283 532;0.8060701168326753 634;0.8068760871615387 714;0.8282252657045197 816;0.8312483736293224 911;0.8241162896427559 1007;0.8200778134551853 1107;0.827091850008603 1202;0.8407505676446001 1303;0.8232079724469291 1401;0.84400824042072 1504;0.8102633018632882 1609;0.8047534695090915 1714;0.8232097544648819 1819;0.8057763773952218 1928;0.7977017756375497 2035
2 3 RIGHT;-1.04 6;-1.04 8;-1.04 12;-1.04 15;-1.04 19;-1.04 20;-1.04 24;-1.04 29;-1.04 31;-1.04 33;-1.04 36;-1.0099591726547352 42;-1.0378152005592371 45;-1.0399206734952107 49;-1.0399643394611497 50;-1.0399965422169684 53;-1.0399999135892144 58;-0.24642141051044208 62;-0.8334347613923622 64;-1.031861164200758 69;-1.0396196414419738 74
2 3 LEFT;-0.018798986231071717 14;0.5770469922309713 39;0.08704225680960193 46;0.5315328790061318 47;0.7242476670999908 53;0.862672487067497 61;0.41520112302476797 70;0.4556088618622383 71;0.4556088618622383 71;0.4504251939188771 72;0.640248904458217 73;0.6532733970725462 82;0.5795944544173269 87;0.693905805247502 88;0.7473263552310956 94;0.7835457891892512 95;0.07800968769423333 97;0.35313486095670676 98;0.6592345649890178 100;0.05872624927886372 102;0.5159777996201916 104
2 1 RIGHT;0.4798562714009746 36;0.5995876077288563 57;0.6453817482251591 73;0.5618510338300529 91;0.6488213027809715 99;0.6324297194329629 104;0.6721998824205565 116;0.7042142709744124 123;0.6625196712617374 129;0.7190845731196256 135;0.7098407128609664 141;0.7093745441464175 146;0.7042014589151294 152;0.714326300687214 154;0.7273073174843165 161;0.7449480014868094 173;0.7315125906061255 178;0.7142813468591119 187;0.7107764255018396 193;0.7129755097298092 200;0.6864131723268828 215
2 3 UP;-0.060028408035069765 11;0.26367698859181904 21;-0.0032825793304439577 25;0.3245991808930361 29;-0.543216112515179 30;0.49211155035787835 33;0.23306954827099013 40;0.5385367988926344 44;0.5266118662954905 45;0.670686827379285 51;0.4583537530170923 55;0.42277874143769945 61;0.5148226788784128 63;0.4749064510205917 66;0.5178408971433999 68;0.46131058684319565 69;0.5541994964956096 74;0.5444363874198859 75;0.4833556375312991 78;0.4226350490156956 82;0.47557816980192147 83
2 1 LEFT;0.5357679239725417 20;0.5461720977499351 39;0.7143188412763768 61;0.6786093816919205 90;0.6581545269496388 104;0.7266062212508467 113;0.6998843634178645 122;0.7168437080642748 128;0.691198036283608 145;0.7110504146074771 157;0.6770601314759869 162;0.7180140281540672 166;0.7125724279228761 177;0.7042281635937242 180;0.722582260963623 188;0.7193648984942789 195;0.6980889467656716 205;0.6846417526780767 214;0.6986229417969504 217;0.7020349114242008 230;0.6871905927470803 238
2 1 UP;0.2648187828174467 18;0.5592229593380341 26;0.4637597702911648 39;0.39950991201071057 46;0.5776245953873282 59;0.625666285039144 63;0.6248628523337181 74;0.5750581828718433 83;0.603030518468162 96;0.5988125448264536 109;0.644100296436268 119;0.6685393920406907 127;0.6342109180922184 139;0.6473172787058177 142;0.6548963029323589 143;0.656316419333566 148;0.660653728704494 154;0.6355526785353978 161;0.6297580788060332 169;0.6359190357740601 174;0.6461329812536883 182
2 3 DOWN;-0.4904102888021201 29;0.7763450257857111 44;0.6540431225950605 71;0.9159187690467406 90;0.9160666468246905 111;0.8887564498516742 149;0.8799021939548061 170;0.8390215237241918 214;0.8708042797360178 247;0.8988799218649733 286;0.9030224305794793 320;0.9074895908001454 360;0.825298557407552 404;0.9041526678573995 442;0.8778114282077745 483;0.8832012219394176 503;0.8948647237351752 528;0.8972798741120095 555;0.8670575910030421 577;0.8756960467001451 606;0.855879947873356 633
2 1 DOWN;0.7199066072761995 54;0.6964608903969116 124;0.7724822343352393 205;0.6991821274666724 293;0.7649499029672802 379;0.7854500281441037 466;0.745406281130945 551;0.7454929295236623 621;0.7676131682546363 707;0.7748770171137422 788;0.7606214200478438 868;0.7781240197951006 943;0.7543466356108149 1028;0.7738683505335838 1109;0.7677276065231929 1193;0.7770704587594067 1288;0.7525545083500395 1365;0.7563634575488954 1449;0.7549067147569541 1540;0.7577133963026395 1619;0.7444293356812403 1715
2 4 NULL;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0
