1 4 LEFT;0.6799999999165556 22;0.6799999181346394 42;0.6799963177999869 60;0.6799101389600725 74;0.6796723561056712 87;0.6798175650216889 113;0.679999999054345 133;0.6799024590528495 146;0.6799912983353114 168;0.679447788980054 198;0.6799974413260849 220;0.6799706758136447 239;0.6799999327006854 257;0.679992322924897 278;0.6729644961994964 302;0.6782900954100692 324;0.6799999999201707 338;0.6799932718894124 354;0.6749816253444181 365;0.6799959339243404 385;0.5172804274602069 401;0.6799837335170429 416;0.6798585676676866 429
3 3 DOWN;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5;-0.2567678695605802 5
3 1 DOWN;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9;-0.36399999999999993 9
3 4 NULL;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0
3 1 RIGHT;0.8799999999999999 111;0.8799991967773599 234;0.8799279999999999 364;0.8799999773199999 480;0.8799999999999639 607;0.8798250399999998 740;0.8770839999999999 867;0.8799999963999999 992;0.8799999999999999 1125;0.8799999999996385 1231;0.8799999999999999 1357;0.8799963999999999 1485;0.8799963999999999 1618;0.8799999963999999 1747;0.8799708399999999 1868;0.8767599999675999 1998;0.8799999999999999 2125;0.8471391649460162 2250;0.8787039999999998 2385;0.8799999999999999 2507;0.8796020046096839 2627;0.8799999999999999 2758;0.876759987752283 2897
2 3 RIGHT;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1
2 3 LEFT;-0.32411164 7;-0.32411164 7;-0.32411164 7;-0.32411164 7;-0.32411164 7;-0.32411164 7;-0.32411164 7;-0.32411164 7;-0.32411164 7;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23;-0.9001116400000002 23
2 1 RIGHT;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10
2 3 UP;0.6799928722635411 23;0.679988623799736 45;0.6799959213433647 59;0.679429802341367 75;0.6722213005123712 92;0.6798426213800878 109;0.6799999976581075 127;0.6799373710205752 150;0.6797635638664191 169;0.6796223657404146 210;0.6799944665018219 226;0.6796726397952837 247;0.679999981136926 265;0.6799999998806209 284;0.6799759006704329 296;0.6780251535449943 318;0.6799963999952918 343;0.6799999562830097 362;0.627462065487523 385;0.6799784856360724 400;0.6702690912570061 423;0.6782772012553966 446;0.67914437309476 464
2 1 LEFT;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.18400000000000002 4;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10;-0.3999999999999999 10
2 1 UP;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.18040000000000003 3;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10;-0.432159850885409 10
2 3 DOWN;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1
2 1 DOWN;0.8399999999999999 96;0.8399660752235999 203;0.8380199999999998 320;0.8399959175999998 422;0.8399999999814958 538;0.8397375599999638 648;0.8373755999999999 752;0.8399998055999639 864;0.8396399999963998 972;0.8399999998538473 1071;0.8399999999999999 1183;0.8327315999999997 1297;0.8399351999999998 1407;0.8399983799999998 1522;0.8397375599999995 1620;0.8399999962091999 1736;0.8399996396399999 1850;0.7751999999999998 1958;0.8341679999999998 2070;0.8399999999999999 2173;0.8352224530281968 2274;0.8399999999999962 2384;0.839998931411664 2499
2 4 NULL;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0
