1 2 UP;-0.14800000000000002 3;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26
3 2 LEFT;-0.07600000000000001 1;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33;-0.9081518470842785 33
1 1 LEFT;-0.18400000000000002 4;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26
1 1 UP;-0.18400000000000002 4;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26
3 3 LEFT;-0.07600000000000001 1;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30;-0.8644885394374566 30
3 3 UP;-0.04 0;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30;-0.860763995700325 30
1 4 RIGHT;-0.18400000000000002 4;-0.9400000000000003 25;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26
3 2 UP;-0.11200000000000002 2;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24
3 1 LEFT;-0.11200000000000002 2;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25
3 1 UP;-0.11200000000000002 2;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33;-0.9106509595897684 33
